source_code,source_name,target_code,target_name,weight
p90.4.a,Food waste for treatment: waste water treatment,,"Sewage and refuse disposal services, sanitation and similar services (90)",1.0
p90.4.b,Other waste for treatment: waste water treatment,,"Sewage and refuse disposal services, sanitation and similar services (90)",1.0
p90.5.a,Food waste for treatment: landfill,,"Sewage and refuse disposal services, sanitation and similar services (90)",1.0
p90.5.b,Paper for treatment: landfill,,"Sewage and refuse disposal services, sanitation and similar services (90)",1.0
p90.5.c,Plastic waste for treatment: landfill,,"Sewage and refuse disposal services, sanitation and similar services (90)",1.0
p90.5.d,Inert/metal/hazardous waste for treatment: landfill,,"Sewage and refuse disposal services, sanitation and similar services (90)",1.0
p90.5.e,Textiles waste for treatment: landfill,,"Sewage and refuse disposal services, sanitation and similar services (90)",1.0
p90.5.f,Wood waste for treatment: landfill,,"Sewage and refuse disposal services, sanitation and similar services (90)",1.0
p91,Membership organisation services n.e.c. (91),,Membership organisation services n.e.c. (91),1.0
p92,"Recreational, cultural and sporting services (92)",,"Recreational, cultural and sporting services (92)",1.0
p93,Other services (93),,Other services (93),1.0
p95,Private households with employed persons (95),,Private households with employed persons (95),1.0
p99,Extra-territorial organizations and bodies,,Other services (93),1.0
