source_code,source_name,target_code,target_name,weight
i90.1.d,Incineration of waste: Metals and Inert materials,,"Sewage and refuse disposal, sanitation and similar activities (90)",1.0
i90.1.e,Incineration of waste: Textiles,,"Sewage and refuse disposal, sanitation and similar activities (90)",1.0
i90.1.f,Incineration of waste: Wood,,"Sewage and refuse disposal, sanitation and similar activities (90)",1.0
i90.1.g,Incineration of waste: Oil/Hazardous waste,,"Sewage and refuse disposal, sanitation and similar activities (90)",1.0
i90.2.a,"Biogasification of food waste, incl. land application",,"Sewage and refuse disposal, sanitation and similar activities (90)",1.0
i90.2.b,"Biogasification of paper, incl. land application",,"Sewage and refuse disposal, sanitation and similar activities (90)",1.0
i90.2.c,"Biogasification of sewage slugde, incl. land application",,"Sewage and refuse disposal, sanitation and similar activities (90)",1.0
i90.3.a,"Composting of food waste, incl. land application",,"Sewage and refuse disposal, sanitation and similar activities (90)",1.0
i90.3.b,"Composting of paper and wood, incl. land application",,"Sewage and refuse disposal, sanitation and similar activities (90)",1.0
i90.4.a,"Waste water treatment, food",,"Sewage and refuse disposal, sanitation and similar activities (90)",1.0
i90.4.b,"Waste water treatment, other",,"Sewage and refuse disposal, sanitation and similar activities (90)",1.0
i90.5.a,Landfill of waste: Food,,"Sewage and refuse disposal, sanitation and similar activities (90)",1.0
i90.5.b,Landfill of waste: Paper,,"Sewage and refuse disposal, sanitation and similar activities (90)",1.0
i90.5.c,Landfill of waste: Plastic,,"Sewage and refuse disposal, sanitation and similar activities (90)",1.0
i90.5.d,Landfill of waste: Inert/metal/hazardous,,"Sewage and refuse disposal, sanitation and similar activities (90)",1.0
i90.5.e,Landfill of waste: Textiles,,"Sewage and refuse disposal, sanitation and similar activities (90)",1.0
i90.5.f,Landfill of waste: Wood,,"Sewage and refuse disposal, sanitation and similar activities (90)",1.0
i91,Activities of membership organisation n.e.c. (91),,Activities of membership organisation n.e.c. (91),1.0
i92,"Recreational, cultural and sporting activities (92)",,"Recreational, cultural and sporting activities (92)",1.0
i93,Other service activities (93),,Other service activities (93),1.0
i95,Private households with employed persons (95),,Private households with employed persons (95),1.0
i99,Extra-territorial organizations and bodies,,Other service activities (93),1.0
