source_code,source_name,target_code,target_name,weight
p40.11.l,Electricity nec,i40.11.l,Production of electricity nec,1.0
p40.12,Transmission services of electricity,i40.12,Transmission of electricity,1.0
p40.13,Distribution and trade services of electricity,i40.13,Distribution and trade of electricity,1.0
p40.2.a,Coke oven gas,i40.2,Manufacture of gas; distribution of gaseous fuels through mains,1.0
p40.2.b,Blast Furnace Gas,i40.2,Manufacture of gas; distribution of gaseous fuels through mains,1.0
p40.2.c,Oxygen Steel Furnace Gas,i40.2,Manufacture of gas; distribution of gaseous fuels through mains,1.0
p40.2.d,Gas Works Gas,i40.2,Manufacture of gas; distribution of gaseous fuels through mains,1.0
p40.2.e,Biogas,i40.2,Manufacture of gas; distribution of gaseous fuels through mains,1.0
p40.2.1,Distribution services of gaseous fuels through mains,i40.2,Manufacture of gas; distribution of gaseous fuels through mains,1.0
p40.3,Steam and hot water supply services,i40.3,Steam and hot water supply,1.0
p41,"Collected and purified water, distribution services of water (41)",i41,"Collection, purification and distribution of water (41)",1.0
p45,Construction work (45),i45,Construction (45),1.0
p45.w,"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",i45.w,Re-processing of secondary construction material into aggregates,1.0
p50.a,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",i50.a,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",1.0
p50.b,Retail trade services of motor fuel,i50.b,Retail sale of automotive fuel,1.0
p51,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",i51,"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",1.0
p52,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",i52,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",1.0
p55,Hotel and restaurant services (55),i55,Hotels and restaurants (55),1.0
p60.1,Railway transportation services,i60.1,Transport via railways,1.0
p60.2,Other land transportation services,i60.2,Other land transport,1.0
p60.3,Transportation services via pipelines,i60.3,Transport via pipelines,1.0
p61.1,Sea and coastal water transportation services,i61.1,Sea and coastal water transport,1.0
p61.2,Inland water transportation services,i61.2,Inland water transport,1.0
p62,Air transport services (62),i62,Air transport (62),1.0
p63,Supporting and auxiliary transport services; travel agency services (63),i63,Supporting and auxiliary transport activities; activities of travel agencies (63),1.0
p64,Post and telecommunication services (64),i64,Post and telecommunications (64),1.0
p65,"Financial intermediation services, except insurance and pension funding services (65)",i65,"Financial intermediation, except insurance and pension funding (65)",1.0
p66,"Insurance and pension funding services, except compulsory social security services (66)",i66,"Insurance and pension funding, except compulsory social security (66)",1.0
p67,Services auxiliary to financial intermediation (67),i67,Activities auxiliary to financial intermediation (67),1.0
p70,Real estate services (70),i70,Real estate activities (70),1.0
p71,Renting services of machinery and equipment without operator and of personal and household goods (71),i71,Renting of machinery and equipment without operator and of personal and household goods (71),1.0
p72,Computer and related services (72),i72,Computer and related activities (72),1.0
p73,Research and development services (73),i73,Research and development (73),1.0
p74,Other business services (74),i74,Other business activities (74),1.0
p75,Public administration and defence services; compulsory social security services (75),i75,Public administration and defence; compulsory social security (75),1.0
p80,Education services (80),i80,Education (80),1.0
p85,Health and social work services (85),i85,Health and social work (85),1.0
p90.1.a,Food waste for treatment: incineration,i90.1.a,Incineration of waste: Food,1.0
p90.1.b,Paper waste for treatment: incineration,i90.1.b,Incineration of waste: Paper,1.0
p90.1.c,Plastic waste for treatment: incineration,i90.1.c,Incineration of waste: Plastic,1.0
p90.1.d,Intert/metal waste for treatment: incineration,i90.1.d,Incineration of waste: Metals and Inert materials,1.0
p90.1.e,Textiles waste for treatment: incineration,i90.1.e,Incineration of waste: Textiles,1.0
p90.1.f,Wood waste for treatment: incineration,i90.1.f,Incineration of waste: Wood,1.0
p90.1.g,Oil/hazardous waste for treatment: incineration,i90.1.g,Incineration of waste: Oil/Hazardous waste,1.0
p90.2.a,Food waste for treatment: biogasification and land application,i90.2.a,"Biogasification of food waste, incl. land application",1.0
p90.2.b,Paper waste for treatment: biogasification and land application,i90.2.b,"Biogasification of paper, incl. land application",1.0
p90.2.c,Sewage sludge for treatment: biogasification and land application,i90.2.c,"Biogasification of sewage slugde, incl. land application",1.0
p90.3.a,Food waste for treatment: composting and land application,i90.3.a,"Composting of food waste, incl. land application",1.0
p90.3.b,Paper and wood waste for treatment: composting and land application,i90.3.b,"Composting of paper and wood, incl. land application",1.0
p90.4.a,Food waste for treatment: waste water treatment,i90.4.a,"Waste water treatment, food",1.0
p90.4.b,Other waste for treatment: waste water treatment,i90.4.b,"Waste water treatment, other",1.0
p90.5.a,Food waste for treatment: landfill,i90.5.a,Landfill of waste: Food,1.0
p90.5.b,Paper for treatment: landfill,i90.5.b,Landfill of waste: Paper,1.0
p90.5.c,Plastic waste for treatment: landfill,i90.5.c,Landfill of waste: Plastic,1.0
p90.5.d,Inert/metal/hazardous waste for treatment: landfill,i90.5.d,Landfill of waste: Inert/metal/hazardous,1.0
p90.5.e,Textiles waste for treatment: landfill,i90.5.e,Landfill of waste: Textiles,1.0
p90.5.f,Wood waste for treatment: landfill,i90.5.f,Landfill of waste: Wood,1.0
p91,Membership organisation services n.e.c. (91),i91,Activities of membership organisation n.e.c. (91),1.0
p92,"Recreational, cultural and sporting services (92)",i92,"Recreational, cultural and sporting activities (92)",1.0
p93,Other services (93),i93,Other service activities (93),1.0
p95,Private households with employed persons (95),i95,Private households with employed persons (95),1.0
p99,Extra-territorial organizations and bodies,i99,Extra-territorial organizations and bodies,1.0
